tran_TransformerTime_hf_sample_L2_wt_1e-4_focal1.00
===================================================

Run 1:
  Epoch 12: Train=0.2588, Val=0.3207, Test=0.2596, Dur=1.08s
  Epoch 13: Train=0.2510, Val=0.3030, Test=0.2546, Dur=1.26s
  Epoch 14: Train=0.2409, Val=0.3105, Test=0.2732, Dur=1.10s
  Epoch 15: Train=0.2445, Val=0.3048, Test=0.2498, Dur=1.10s
  Epoch 16: Train=0.2523, Val=0.3079, Test=0.2503, Dur=1.09s
  Epoch 17: Train=0.2300, Val=0.3057, Test=0.2622, Dur=1.10s
  Epoch 18: Train=0.2410, Val=0.3006, Test=0.2482, Dur=1.11s
  Epoch 19: Train=0.2351, Val=0.3023, Test=0.2460, Dur=1.11s
  Epoch 20: Train=0.2253, Val=0.3028, Test=0.2626, Dur=1.12s
  Epoch 21: Train=0.2272, Val=0.3028, Test=0.2441, Dur=1.14s
  Epoch 22: Train=0.2083, Val=0.2968, Test=0.2483, Dur=1.13s
  Epoch 23: Train=0.2016, Val=0.2985, Test=0.2435, Dur=1.10s
  Epoch 24: Train=0.2035, Val=0.3000, Test=0.2464, Dur=1.10s
  Epoch 25: Train=0.1888, Val=0.3080, Test=0.2415, Dur=1.11s
  Epoch 26: Train=0.1989, Val=0.3056, Test=0.2507, Dur=1.12s
  Epoch 27: Train=0.1938, Val=0.3161, Test=0.2405, Dur=1.10s
  Epoch 28: Train=0.1953, Val=0.3150, Test=0.2433, Dur=1.12s
  Epoch 29: Train=0.1826, Val=0.3291, Test=0.2462, Dur=1.12s

Run 5:
  Epoch  0: Train=0.3980, Val=0.2948, Test=0.2641, Dur=1.10s
  Epoch  1: Train=0.3221, Val=0.3026, Test=0.2669, Dur=1.08s
  Epoch  2: Train=0.2813, Val=0.2945, Test=0.2628, Dur=1.15s
  Epoch  3: Train=0.2829, Val=0.2910, Test=0.2536, Dur=1.11s
  Epoch  4: Train=0.2720, Val=0.2913, Test=0.2490, Dur=1.11s
  Epoch  5: Train=0.2760, Val=0.2920, Test=0.2479, Dur=1.12s
  Epoch  6: Train=0.2524, Val=0.2940, Test=0.2504, Dur=1.11s
  Epoch  7: Train=0.2956, Val=0.3078, Test=0.2576, Dur=1.08s
  Epoch  8: Train=0.2842, Val=0.3211, Test=0.2689, Dur=1.13s
  Epoch  9: Train=0.2525, Val=0.3278, Test=0.2944, Dur=1.11s
  Epoch 10: Train=0.2543, Val=0.3110, Test=0.2622, Dur=1.16s
  Epoch 11: Train=0.2384, Val=0.3034, Test=0.2560, Dur=1.10s
  Epoch 12: Train=0.2542, Val=0.3111, Test=0.2551, Dur=1.10s
  Epoch 13: Train=0.2364, Val=0.3074, Test=0.2606, Dur=1.10s
  Epoch 14: Train=0.2236, Val=0.3071, Test=0.2553, Dur=1.17s
  Epoch 15: Train=0.2238, Val=0.3157, Test=0.2559, Dur=1.12s
  Epoch 16: Train=0.2150, Val=0.3190, Test=0.2662, Dur=1.17s
  Epoch 17: Train=0.2206, Val=0.3159, Test=0.2576, Dur=1.15s
  Epoch 18: Train=0.2088, Val=0.3182, Test=0.2584, Dur=1.11s
  Epoch 19: Train=0.2154, Val=0.3189, Test=0.2564, Dur=1.10s
  Epoch 20: Train=0.1993, Val=0.3287, Test=0.2543, Dur=1.19s
  Epoch 21: Train=0.2010, Val=0.3386, Test=0.2649, Dur=1.11s

Final metrics per run (acc, prec, rec, f1, auc):
 Run 1: 0.7843, 0.8182, 0.9231, 0.8675, 0.6282
 Run 2: 0.7549, 0.7849, 0.9359, 0.8538, 0.5513
 Run 3: 0.7745, 0.8090, 0.9231, 0.8623, 0.6074
 Run 4: 0.8235, 0.8333, 0.9615, 0.8929, 0.6683
 Run 5: 0.7451, 0.7708, 0.9487, 0.8506, 0.5160

Summary:
 Mean: 0.7765, 0.8033, 0.9385, 0.8654, 0.5942
  Std: 0.0273, 0.0226, 0.0150, 0.0150, 0.0543
